analysis_id,representation,method,status,reason,sample_count,feature_count,rank,component_count,explained_variance_sum,iterations,converged,observed_reconstruction_rmse,input_roster,class_id,class_label,excluded_compounds,stress,seed,query_projection_status,query_projection_details,reference_roster,reference_axes_refit_with_query
HISTORICAL_HISTORECEPTOMIC_CONTROLS__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,8,7.0,6.0,2.0,0.999094348885863,300.0,False,0.03977547597593839,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Chlorpromazine; Clozapine; Duloxetine; Fluoxetine; Venlafaxine",HISTORICAL_HISTORECEPTOMIC_CONTROLS,Historical historeceptomic controls,,,,,,,
HISTORICAL_HISTORECEPTOMIC_CONTROLS__RMS_PCOA,pairwise_rms,PCOA,PASS,,8,,5.0,2.0,0.9491083305998002,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Chlorpromazine; Clozapine; Duloxetine; Fluoxetine; Venlafaxine",HISTORICAL_HISTORECEPTOMIC_CONTROLS,Historical historeceptomic controls,,,,,,,
HISTORICAL_HISTORECEPTOMIC_CONTROLS__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,,8,,,2.0,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Chlorpromazine; Clozapine; Duloxetine; Fluoxetine; Venlafaxine",HISTORICAL_HISTORECEPTOMIC_CONTROLS,Historical historeceptomic controls,,0.01792078410406177,20260813.0,,,,
HISTORICAL_HISTORECEPTOMIC_CONTROLS__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,,8,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Chlorpromazine; Clozapine; Duloxetine; Fluoxetine; Venlafaxine",HISTORICAL_HISTORECEPTOMIC_CONTROLS,Historical historeceptomic controls,,,,,,,
MONOAMINERGIC_ANTIDEPRESSANTS__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,7,666.0,6.0,2.0,0.9982507830202662,300.0,False,0.024631593313736603,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",MONOAMINERGIC_ANTIDEPRESSANTS,Monoaminergic antidepressants,,,,,,,
MONOAMINERGIC_ANTIDEPRESSANTS__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,5,162.0,4.0,2.0,0.9994171097136133,300.0,False,0.011672408907020737,Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine,MONOAMINERGIC_ANTIDEPRESSANTS,Monoaminergic antidepressants,,,,ESTIMATED; ESTIMATED,"[{'compound': 'Ketamine, pooled parent', 'status': 'ESTIMATED', 'observed_features': 162, 'condition_number': 1.0000000000000007, 'coordinates': [-0.4230971502147486, 0.8522649520010487], 'projection_rmse': 0.12182219053003666}, {'compound': 'Ketamine, confirmed racemate', 'status': 'ESTIMATED', 'observed_features': 72, 'condition_number': 2.7956005560304913, 'coordinates': [8.15967222417031, 2.7565278692422117], 'projection_rmse': 0.258928853014133}]",Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine,False
MONOAMINERGIC_ANTIDEPRESSANTS__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,7,37.0,6.0,2.0,0.999252788704932,300.0,False,0.008557605185483843,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",MONOAMINERGIC_ANTIDEPRESSANTS,Monoaminergic antidepressants,,,,,,,
MONOAMINERGIC_ANTIDEPRESSANTS__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,7,7.0,5.0,2.0,0.9976941688899997,300.0,False,0.05991054574462557,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",MONOAMINERGIC_ANTIDEPRESSANTS,Monoaminergic antidepressants,,,,,,,
MONOAMINERGIC_ANTIDEPRESSANTS__RMS_PCOA,pairwise_rms,PCOA,PASS,,7,,4.0,2.0,0.9643378322165734,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",MONOAMINERGIC_ANTIDEPRESSANTS,Monoaminergic antidepressants,,,,,,,
MONOAMINERGIC_ANTIDEPRESSANTS__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,,7,,,2.0,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",MONOAMINERGIC_ANTIDEPRESSANTS,Monoaminergic antidepressants,,0.009935848863722401,20260813.0,,,,
MONOAMINERGIC_ANTIDEPRESSANTS__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,,7,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",MONOAMINERGIC_ANTIDEPRESSANTS,Monoaminergic antidepressants,,,,,,,
MOOD_STABILIZERS__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,4,540.0,3.0,2.0,0.9999999999534179,300.0,False,2.5339848172131797e-06,"Ketamine, pooled parent; Ketamine, confirmed racemate; Lamotrigine; Valproate",MOOD_STABILIZERS,Mood stabilizer context,,,,,,,
MOOD_STABILIZERS__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_PCA,NOT_ESTIMABLE,Fewer than three numerical external reference compounds,4,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Lamotrigine; Valproate",MOOD_STABILIZERS,Mood stabilizer context,,,,,,,
MOOD_STABILIZERS__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS,,4,30.0,3.0,2.0,0.999999999999999,112.0,True,6.006976214033832e-09,"Ketamine, pooled parent; Ketamine, confirmed racemate; Lamotrigine; Valproate",MOOD_STABILIZERS,Mood stabilizer context,,,,,,,
MOOD_STABILIZERS__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS,,4,8.0,2.0,2.0,1.0,1.0,True,1.9478403400799703e-16,"Ketamine, pooled parent; Ketamine, confirmed racemate; Lamotrigine; Valproate",MOOD_STABILIZERS,Mood stabilizer context,,,,,,,
MOOD_STABILIZERS__RMS_PCOA,pairwise_rms,PCOA,PASS,,3,,2.0,2.0,0.9999999999999999,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Valproate",MOOD_STABILIZERS,Mood stabilizer context,Lamotrigine,,,,,,
MOOD_STABILIZERS__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,,3,,,2.0,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Valproate",MOOD_STABILIZERS,Mood stabilizer context,Lamotrigine,9.040807053093293e-06,20260813.0,,,,
MOOD_STABILIZERS__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,,3,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Valproate",MOOD_STABILIZERS,Mood stabilizer context,Lamotrigine,,,,,,
PSYCHEDELIC_SEROTONERGIC__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,5,594.0,4.0,2.0,0.9991020292650155,300.0,False,0.013026208129221558,"Ketamine, pooled parent; Ketamine, confirmed racemate; Lysergide (LSD); Psilocin; Psilocybin",PSYCHEDELIC_SEROTONERGIC,Serotonergic psychedelic context,,,,,,,
PSYCHEDELIC_SEROTONERGIC__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,At least one query projection was not estimable,3,72.0,2.0,2.0,1.0,1.0,True,3.804134280112044e-16,Lysergide (LSD); Psilocin; Psilocybin,PSYCHEDELIC_SEROTONERGIC,Serotonergic psychedelic context,,,,ESTIMATED; NOT_ESTIMABLE_INSUFFICIENT_OBSERVED_FEATURES,"[{'compound': 'Ketamine, pooled parent', 'status': 'ESTIMATED', 'observed_features': 72, 'condition_number': 1.0000000000000007, 'coordinates': [-0.1324072436529663, 0.35656633801908777], 'projection_rmse': 0.07504659264103467}, {'compound': 'Ketamine, confirmed racemate', 'status': 'NOT_ESTIMABLE_INSUFFICIENT_OBSERVED_FEATURES', 'observed_features': 0, 'condition_number': nan, 'coordinates': [nan, nan], 'projection_rmse': nan}]",Lysergide (LSD); Psilocin; Psilocybin,False
PSYCHEDELIC_SEROTONERGIC__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,5,33.0,4.0,2.0,0.9993018187891956,300.0,False,0.0061463841039707005,"Ketamine, pooled parent; Ketamine, confirmed racemate; Lysergide (LSD); Psilocin; Psilocybin",PSYCHEDELIC_SEROTONERGIC,Serotonergic psychedelic context,,,,,,,
PSYCHEDELIC_SEROTONERGIC__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS,,5,6.0,2.0,2.0,1.0,1.0,True,1.8253379971363983e-16,"Ketamine, pooled parent; Ketamine, confirmed racemate; Lysergide (LSD); Psilocin; Psilocybin",PSYCHEDELIC_SEROTONERGIC,Serotonergic psychedelic context,,,,,,,
PSYCHEDELIC_SEROTONERGIC__RMS_PCOA,pairwise_rms,PCOA,PASS,,4,,2.0,2.0,1.0,,,,"Ketamine, pooled parent; Lysergide (LSD); Psilocin; Psilocybin",PSYCHEDELIC_SEROTONERGIC,Serotonergic psychedelic context,"Ketamine, confirmed racemate",,,,,,
PSYCHEDELIC_SEROTONERGIC__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,,4,,,2.0,,,,,"Ketamine, pooled parent; Lysergide (LSD); Psilocin; Psilocybin",PSYCHEDELIC_SEROTONERGIC,Serotonergic psychedelic context,"Ketamine, confirmed racemate",0.0005918616749348343,20260813.0,,,,
PSYCHEDELIC_SEROTONERGIC__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,,4,,,,,,,,"Ketamine, pooled parent; Lysergide (LSD); Psilocin; Psilocybin",PSYCHEDELIC_SEROTONERGIC,Serotonergic psychedelic context,"Ketamine, confirmed racemate",,,,,,
RAPID_ACTING_ANTIDEPRESSANT_CONTEXT__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS,,4,450.0,3.0,2.0,0.9999999999999999,28.0,True,2.190210395907555e-09,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Scopolamine",RAPID_ACTING_ANTIDEPRESSANT_CONTEXT,Rapid-acting antidepressant context,,,,,,,
RAPID_ACTING_ANTIDEPRESSANT_CONTEXT__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_PCA,NOT_ESTIMABLE,Fewer than three numerical external reference compounds,4,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Scopolamine",RAPID_ACTING_ANTIDEPRESSANT_CONTEXT,Rapid-acting antidepressant context,,,,,,,
RAPID_ACTING_ANTIDEPRESSANT_CONTEXT__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS,,4,25.0,3.0,2.0,1.0,25.0,True,8.563864449566807e-10,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Scopolamine",RAPID_ACTING_ANTIDEPRESSANT_CONTEXT,Rapid-acting antidepressant context,,,,,,,
RAPID_ACTING_ANTIDEPRESSANT_CONTEXT__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS,,4,5.0,2.0,2.0,1.0,1.0,True,1.2299310667862546e-16,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Scopolamine",RAPID_ACTING_ANTIDEPRESSANT_CONTEXT,Rapid-acting antidepressant context,,,,,,,
RAPID_ACTING_ANTIDEPRESSANT_CONTEXT__RMS_PCOA,pairwise_rms,PCOA,PASS,,3,,2.0,2.0,1.0,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Scopolamine",RAPID_ACTING_ANTIDEPRESSANT_CONTEXT,Rapid-acting antidepressant context,Dextromethorphan,,,,,,
RAPID_ACTING_ANTIDEPRESSANT_CONTEXT__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,,3,,,2.0,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Scopolamine",RAPID_ACTING_ANTIDEPRESSANT_CONTEXT,Rapid-acting antidepressant context,Dextromethorphan,1.0625227601294558e-06,20260813.0,,,,
RAPID_ACTING_ANTIDEPRESSANT_CONTEXT__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,,3,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Scopolamine",RAPID_ACTING_ANTIDEPRESSANT_CONTEXT,Rapid-acting antidepressant context,Dextromethorphan,,,,,,
SEROTONERGIC_PSYCHOACTIVE_CONTEXT__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,11,702.0,10.0,2.0,0.9830568563697518,300.0,False,0.08835006538889009,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone",SEROTONERGIC_PSYCHOACTIVE_CONTEXT,Serotonergic psychoactive context,,,,,,,
SEROTONERGIC_PSYCHOACTIVE_CONTEXT__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,9,414.0,8.0,2.0,0.9747571072905881,300.0,False,0.09395303496207502,Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone,SEROTONERGIC_PSYCHOACTIVE_CONTEXT,Serotonergic psychoactive context,,,,ESTIMATED; ESTIMATED,"[{'compound': 'Ketamine, pooled parent', 'status': 'ESTIMATED', 'observed_features': 414, 'condition_number': 1.0000000000000007, 'coordinates': [-3.22918531258049, 1.0039724949890414], 'projection_rmse': 0.1458385158959418}, {'compound': 'Ketamine, confirmed racemate', 'status': 'ESTIMATED', 'observed_features': 180, 'condition_number': 1.4613640946914401, 'coordinates': [9.378224795589674, 0.4066990826924144], 'projection_rmse': 0.16680316703667936}]",Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone,False
SEROTONERGIC_PSYCHOACTIVE_CONTEXT__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,11,39.0,10.0,2.0,0.9843393696796293,300.0,False,0.04325174448718759,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone",SEROTONERGIC_PSYCHOACTIVE_CONTEXT,Serotonergic psychoactive context,,,,,,,
SEROTONERGIC_PSYCHOACTIVE_CONTEXT__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,11,14.0,10.0,2.0,0.9044756740081781,300.0,False,0.20318901758513958,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone",SEROTONERGIC_PSYCHOACTIVE_CONTEXT,Serotonergic psychoactive context,,,,,,,
SEROTONERGIC_PSYCHOACTIVE_CONTEXT__RMS_PCOA,pairwise_rms,PCOA,PASS,,10,,6.0,2.0,0.891453499118307,,,,"Ketamine, pooled parent; Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone",SEROTONERGIC_PSYCHOACTIVE_CONTEXT,Serotonergic psychoactive context,"Ketamine, confirmed racemate",,,,,,
SEROTONERGIC_PSYCHOACTIVE_CONTEXT__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,,10,,,2.0,,,,,"Ketamine, pooled parent; Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone",SEROTONERGIC_PSYCHOACTIVE_CONTEXT,Serotonergic psychoactive context,"Ketamine, confirmed racemate",0.1108184334918319,20260813.0,,,,
SEROTONERGIC_PSYCHOACTIVE_CONTEXT__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,,10,,,,,,,,"Ketamine, pooled parent; Chlorpromazine; Clozapine; Lysergide (LSD); Mirtazapine; Olanzapine; Psilocin; Psilocybin; Risperidone; Ziprasidone",SEROTONERGIC_PSYCHOACTIVE_CONTEXT,Serotonergic psychoactive context,"Ketamine, confirmed racemate",,,,,,
TYPICAL_ANTIPSYCHOTICS__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,4,684.0,3.0,2.0,0.994171794432608,300.0,False,0.04185988451161718,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Haloperidol",TYPICAL_ANTIPSYCHOTICS,Typical antipsychotics,,,,,,,
TYPICAL_ANTIPSYCHOTICS__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_PCA,NOT_ESTIMABLE,Fewer than three numerical external reference compounds,4,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Haloperidol",TYPICAL_ANTIPSYCHOTICS,Typical antipsychotics,,,,,,,
TYPICAL_ANTIPSYCHOTICS__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,4,38.0,3.0,2.0,0.9935502432848624,300.0,False,0.022384745223493548,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Haloperidol",TYPICAL_ANTIPSYCHOTICS,Typical antipsychotics,,,,,,,
TYPICAL_ANTIPSYCHOTICS__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,4,11.0,3.0,2.0,0.998754990351224,300.0,False,0.03973825065220827,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Haloperidol",TYPICAL_ANTIPSYCHOTICS,Typical antipsychotics,,,,,,,
TYPICAL_ANTIPSYCHOTICS__RMS_PCOA,pairwise_rms,PCOA,PASS,,4,,3.0,2.0,0.9919956270328341,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Haloperidol",TYPICAL_ANTIPSYCHOTICS,Typical antipsychotics,,,,,,,
TYPICAL_ANTIPSYCHOTICS__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,,4,,,2.0,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Haloperidol",TYPICAL_ANTIPSYCHOTICS,Typical antipsychotics,,8.492029567466077e-05,20260813.0,,,,
TYPICAL_ANTIPSYCHOTICS__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,,4,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Chlorpromazine; Haloperidol",TYPICAL_ANTIPSYCHOTICS,Typical antipsychotics,,,,,,,
