analysis_id,representation,method,status,reason,sample_count,feature_count,rank,component_count,explained_variance_sum,iterations,converged,observed_reconstruction_rmse,input_roster,excluded_compounds,stress,seed,query_projection_status,query_projection_details,reference_roster,reference_axes_refit_with_query,class_id,class_label
GLOBAL_COMPLETE_CASE_PCA,strict18_common_rhr,COMPLETE_CASE_SVD_PCA,NOT_ESTIMABLE,No estimable complete-case PCA matrix,,,,,,,,,,,,,,,,,,
GLOBAL_TARGET_LEVEL_PCA,target_mean_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,35.0,45.0,34.0,2.0,0.9926131533187987,300.0,False,0.05611115786915532,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,,,
GLOBAL_SHARED_TARGET_PCA,complete_case_target_mean_common_rhr,SHARED_TARGET_COMPLETE_CASE_PCA,NOT_ESTIMABLE,No estimable complete-case PCA matrix,,,,,,,,,,,,,,,,,,
GLOBAL_SPARSE_ALPHA001_PCA,alpha001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,35.0,30.0,23.0,2.0,0.9546591518616964,300.0,False,0.21883520923625704,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,,,
GLOBAL_SPARSE_ALPHA0001_PCA,alpha0001_binary_0_1_NA,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,35.0,25.0,19.0,2.0,0.9531429676955034,300.0,False,0.20462314400569592,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin; (2R,6R)-hydroxynorketamine; (2S,6S)-hydroxynorketamine; Hydroxynorketamine / HNK, generic identity; Hydroxyketamine, generic E7 identity; Norketamine",,,,,,,,,
GLOBAL_FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,25.0,468.0,24.0,2.0,0.9753390349249782,300.0,False,0.11116240979371785,Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin,,,,ESTIMATED; ESTIMATED; ESTIMATED; ESTIMATED; ESTIMATED; ESTIMATED; ESTIMATED; ESTIMATED; ESTIMATED; ESTIMATED,"[{'compound': 'Ketamine, pooled parent', 'status': 'ESTIMATED', 'observed_features': 450, 'condition_number': 1.0301612307839851, 'coordinates': [3.6561804701853, 1.6287490536362472], 'projection_rmse': 0.1193104072148933}, {'compound': 'Ketamine, confirmed racemate', 'status': 'ESTIMATED', 'observed_features': 198, 'condition_number': 1.2096303691755792, 'coordinates': [-10.777960914303042, 0.3057962348735587], 'projection_rmse': 0.34416273437468814}, {'compound': 'S-ketamine', 'status': 'ESTIMATED', 'observed_features': 342, 'condition_number': 1.1852666895304573, 'coordinates': [-9.369040787299818, 0.11800431635710494], 'projection_rmse': 0.26571918657756427}, {'compound': 'R-ketamine', 'status': 'ESTIMATED', 'observed_features': 324, 'condition_number': 1.137348777883227, 'coordinates': [-9.18133202235348, -0.28305962186356287], 'projection_rmse': 0.2648099731633403}, {'compound': 'Hydroxyketamine, unspecified isomer aggregate', 'status': 'ESTIMATED', 'observed_features': 324, 'condition_number': 1.137348777883227, 'coordinates': [-9.18133202235348, -0.28305962186356287], 'projection_rmse': 0.2648099731633403}, {'compound': '(2R,6R)-hydroxynorketamine', 'status': 'ESTIMATED', 'observed_features': 37, 'condition_number': 12.454978359206157, 'coordinates': [0.46348225982632735, 0.7107432090532786], 'projection_rmse': 0.43562616458008563}, {'compound': '(2S,6S)-hydroxynorketamine', 'status': 'ESTIMATED', 'observed_features': 18, 'condition_number': 15.248872696802065, 'coordinates': [-7.324674641067853, -17.95926369195215], 'projection_rmse': 0.48868335051085215}, {'compound': 'Hydroxynorketamine / HNK, generic identity', 'status': 'ESTIMATED', 'observed_features': 55, 'condition_number': 4.979377505901152, 'coordinates': [14.112752400330985, 20.193336487913083], 'projection_rmse': 0.42962477097012086}, {'compound': 'Hydroxyketamine, generic E7 identity', 'status': 'ESTIMATED', 'observed_features': 96, 'condition_number': 1.622067394627802, 'coordinates': [4.423024665683023, 2.108908619197154], 'projection_rmse': 0.6111313965198306}, {'compound': 'Norketamine', 'status': 'ESTIMATED', 'observed_features': 72, 'condition_number': 1.2735824833966636, 'coordinates': [5.30343837984026, 3.344334931501295], 'projection_rmse': 0.3967549015703097}]",Bupropion; Fluoxetine; Duloxetine; Venlafaxine; Scopolamine; Dextromethorphan; Morphine; Propofol; Dexmedetomidine; Lysergide (LSD); Psilocin; Clozapine; Chlorpromazine; Sertraline; Mirtazapine; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Quetiapine; Ziprasidone; PCP; Valproate; Lamotrigine; Psilocybin,False,,
GLOBAL_RMS_PCOA,pairwise_rms,PCOA,PASS_WITH_LIMITATION,"Distance ordination uses complete finite subset, n=21/35; excluded profiles are listed",21.0,,12.0,2.0,0.85051867308528,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Fluoxetine; Duloxetine; Venlafaxine; Propofol; Dexmedetomidine; Clozapine; Chlorpromazine; Sertraline; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Ziprasidone; PCP; Valproate; Hydroxyketamine, generic E7 identity","Dextromethorphan; Lamotrigine; (2S,6S)-hydroxynorketamine; (2R,6R)-hydroxynorketamine; Psilocin; Psilocybin; Scopolamine; Lysergide (LSD); Morphine; Norketamine; Mirtazapine; Hydroxynorketamine / HNK, generic identity; Quetiapine; Bupropion",,,,,,,,
GLOBAL_WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS_WITH_LIMITATION,"Distance ordination uses complete finite subset, n=21/35; excluded profiles are listed",21.0,,,2.0,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Fluoxetine; Duloxetine; Venlafaxine; Propofol; Dexmedetomidine; Clozapine; Chlorpromazine; Sertraline; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Ziprasidone; PCP; Valproate; Hydroxyketamine, generic E7 identity","Dextromethorphan; Lamotrigine; (2S,6S)-hydroxynorketamine; (2R,6R)-hydroxynorketamine; Psilocin; Psilocybin; Scopolamine; Lysergide (LSD); Morphine; Norketamine; Mirtazapine; Hydroxynorketamine / HNK, generic identity; Quetiapine; Bupropion",3.9268542445790993,20260813.0,,,,,,
GLOBAL_AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS_WITH_LIMITATION,"Hierarchical clustering uses complete finite subset, n=21/35; excluded profiles are listed",21.0,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; S-ketamine; R-ketamine; Hydroxyketamine, unspecified isomer aggregate; Fluoxetine; Duloxetine; Venlafaxine; Propofol; Dexmedetomidine; Clozapine; Chlorpromazine; Sertraline; Aripiprazole; Haloperidol; Olanzapine; Risperidone; Ziprasidone; PCP; Valproate; Hydroxyketamine, generic E7 identity","Dextromethorphan; Lamotrigine; (2S,6S)-hydroxynorketamine; (2R,6R)-hydroxynorketamine; Psilocin; Psilocybin; Scopolamine; Lysergide (LSD); Morphine; Norketamine; Mirtazapine; Hydroxynorketamine / HNK, generic identity; Quetiapine; Bupropion",,,,,,,,
ANALGESICS__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS,,4.0,450.0,3.0,2.0,0.9999999999999996,39.0,True,5.765053094065912e-09,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Morphine",,,,,,,,ANALGESICS,Analgesic context
ANALGESICS__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_PCA,NOT_ESTIMABLE,Fewer than three numerical external reference compounds,4.0,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Morphine",,,,,,,,ANALGESICS,Analgesic context
ANALGESICS__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS,,4.0,25.0,3.0,2.0,1.0,30.0,True,7.478313185550687e-10,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Morphine",,,,,,,,ANALGESICS,Analgesic context
ANALGESICS__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS,,4.0,5.0,3.0,2.0,1.0,34.0,True,2.3030295307529555e-09,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dextromethorphan; Morphine",,,,,,,,ANALGESICS,Analgesic context
ANALGESICS__RMS_PCOA,pairwise_rms,PCOA,PASS,,3.0,,1.0,1.0,1.0,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Morphine",Dextromethorphan,,,,,,,ANALGESICS,Analgesic context
ANALGESICS__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,,3.0,,,2.0,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Morphine",Dextromethorphan,0.0001053637933601,20260813.0,,,,,ANALGESICS,Analgesic context
ANALGESICS__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,,3.0,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Morphine",Dextromethorphan,,,,,,,ANALGESICS,Analgesic context
ANESTHETIC_SEDATIVE__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,4.0,540.0,3.0,2.0,0.9999958491545664,300.0,False,0.0007238450120924,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",,,,,,,,ANESTHETIC_SEDATIVE,Anesthetic and sedative context
ANESTHETIC_SEDATIVE__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_PCA,NOT_ESTIMABLE,Fewer than three numerical external reference compounds,4.0,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",,,,,,,,ANESTHETIC_SEDATIVE,Anesthetic and sedative context
ANESTHETIC_SEDATIVE__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS,,4.0,30.0,3.0,2.0,0.999999999999999,124.0,True,5.616418150198506e-09,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",,,,,,,,ANESTHETIC_SEDATIVE,Anesthetic and sedative context
ANESTHETIC_SEDATIVE__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS,,4.0,4.0,1.0,1.0,1.0,1.0,True,1.6302709355362946e-16,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",,,,,,,,ANESTHETIC_SEDATIVE,Anesthetic and sedative context
ANESTHETIC_SEDATIVE__RMS_PCOA,pairwise_rms,PCOA,PASS,,4.0,,2.0,2.0,1.0,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",,,,,,,,ANESTHETIC_SEDATIVE,Anesthetic and sedative context
ANESTHETIC_SEDATIVE__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,,4.0,,,2.0,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",,0.0181716030132647,20260813.0,,,,,ANESTHETIC_SEDATIVE,Anesthetic and sedative context
ANESTHETIC_SEDATIVE__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,,4.0,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Dexmedetomidine; Propofol",,,,,,,,ANESTHETIC_SEDATIVE,Anesthetic and sedative context
ANTIDEPRESSANTS_BROAD__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,10.0,666.0,9.0,2.0,0.9986629870164452,300.0,False,0.0290914672816409,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Dextromethorphan; Duloxetine; Fluoxetine; Mirtazapine; Scopolamine; Sertraline; Venlafaxine",,,,,,,,ANTIDEPRESSANTS_BROAD,Broad antidepressant and rapid-acting antidepressant context
ANTIDEPRESSANTS_BROAD__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,8.0,324.0,7.0,2.0,0.9995862921256162,300.0,False,0.0091429286290199,Bupropion; Dextromethorphan; Duloxetine; Fluoxetine; Mirtazapine; Scopolamine; Sertraline; Venlafaxine,,,,ESTIMATED; ESTIMATED,"[{'compound': 'Ketamine, pooled parent', 'status': 'ESTIMATED', 'observed_features': 324, 'condition_number': 1.0000000000000002, 'coordinates': [-0.6051521269703597, -0.829416887877301], 'projection_rmse': 0.4616385097438103}, {'compound': 'Ketamine, confirmed racemate', 'status': 'ESTIMATED', 'observed_features': 126, 'condition_number': 1.4986840073918315, 'coordinates': [7.557480485757633, 6.168266720938087], 'projection_rmse': 0.2044132095119564}]",Bupropion; Dextromethorphan; Duloxetine; Fluoxetine; Mirtazapine; Scopolamine; Sertraline; Venlafaxine,False,ANTIDEPRESSANTS_BROAD,Broad antidepressant and rapid-acting antidepressant context
ANTIDEPRESSANTS_BROAD__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,10.0,37.0,9.0,2.0,0.9994275483617931,300.0,False,0.0097669351300666,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Dextromethorphan; Duloxetine; Fluoxetine; Mirtazapine; Scopolamine; Sertraline; Venlafaxine",,,,,,,,ANTIDEPRESSANTS_BROAD,Broad antidepressant and rapid-acting antidepressant context
ANTIDEPRESSANTS_BROAD__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,10.0,10.0,8.0,2.0,0.9935923139225784,300.0,False,0.0778551556766496,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Dextromethorphan; Duloxetine; Fluoxetine; Mirtazapine; Scopolamine; Sertraline; Venlafaxine",,,,,,,,ANTIDEPRESSANTS_BROAD,Broad antidepressant and rapid-acting antidepressant context
ANTIDEPRESSANTS_BROAD__RMS_PCOA,pairwise_rms,PCOA,PASS,,7.0,,4.0,2.0,0.9643378322165734,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",Scopolamine; Mirtazapine; Dextromethorphan,,,,,,,ANTIDEPRESSANTS_BROAD,Broad antidepressant and rapid-acting antidepressant context
ANTIDEPRESSANTS_BROAD__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,,7.0,,,2.0,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",Scopolamine; Mirtazapine; Dextromethorphan,0.0099358488637224,20260813.0,,,,,ANTIDEPRESSANTS_BROAD,Broad antidepressant and rapid-acting antidepressant context
ANTIDEPRESSANTS_BROAD__AVERAGE_LINKAGE,pairwise_rms,AVERAGE_LINKAGE_HIERARCHICAL_CLUSTERING,PASS,,7.0,,,,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Bupropion; Duloxetine; Fluoxetine; Sertraline; Venlafaxine",Scopolamine; Mirtazapine; Dextromethorphan,,,,,,,ANTIDEPRESSANTS_BROAD,Broad antidepressant and rapid-acting antidepressant context
ANTIPSYCHOTICS_BROAD__JOINT_CONTINUOUS_PCA,strict18_common_rhr,EM_SVD_MISSINGNESS_AWARE_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,10.0,720.0,9.0,2.0,0.9581137473027634,300.0,False,0.1038020445228348,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Chlorpromazine; Clozapine; Haloperidol; Olanzapine; Quetiapine; Risperidone; Ziprasidone",,,,,,,,ANTIPSYCHOTICS_BROAD,Broad antipsychotic reference set
ANTIPSYCHOTICS_BROAD__FIXED_REFERENCE_PCA,strict18_common_rhr,FROZEN_REFERENCE_EM_SVD_PCA_WITH_WLS_QUERY_PROJECTION,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,8.0,450.0,7.0,2.0,0.9400508821226026,300.0,False,0.1108180391488669,Aripiprazole; Chlorpromazine; Clozapine; Haloperidol; Olanzapine; Quetiapine; Risperidone; Ziprasidone,,,,ESTIMATED; ESTIMATED,"[{'compound': 'Ketamine, pooled parent', 'status': 'ESTIMATED', 'observed_features': 432, 'condition_number': 1.0331538397787055, 'coordinates': [4.277834290315083, 0.8083386138880077], 'projection_rmse': 0.2679993762035855}, {'compound': 'Ketamine, confirmed racemate', 'status': 'ESTIMATED', 'observed_features': 180, 'condition_number': 1.5559101120675394, 'coordinates': [-8.052183503080261, -3.387348971824359], 'projection_rmse': 0.308022115216456}]",Aripiprazole; Chlorpromazine; Clozapine; Haloperidol; Olanzapine; Quetiapine; Risperidone; Ziprasidone,False,ANTIPSYCHOTICS_BROAD,Broad antipsychotic reference set
ANTIPSYCHOTICS_BROAD__TARGET_LEVEL_PCA,target_mean_common_rhr,TARGET_LEVEL_EM_SVD_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,10.0,40.0,9.0,2.0,0.9671192918504242,300.0,False,0.0467358370370994,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Chlorpromazine; Clozapine; Haloperidol; Olanzapine; Quetiapine; Risperidone; Ziprasidone",,,,,,,,ANTIPSYCHOTICS_BROAD,Broad antipsychotic reference set
ANTIPSYCHOTICS_BROAD__SPARSE_FINGERPRINT_PCA,alpha001_binary_0_1_NA,SUPPORT_AWARE_SPARSE_FINGERPRINT_EM_SVD_PCA,PASS_WITH_LIMITATION,EM-SVD did not meet convergence tolerance; point estimate retained,10.0,17.0,9.0,2.0,0.872327375359418,300.0,False,0.2530918380595736,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Chlorpromazine; Clozapine; Haloperidol; Olanzapine; Quetiapine; Risperidone; Ziprasidone",,,,,,,,ANTIPSYCHOTICS_BROAD,Broad antipsychotic reference set
ANTIPSYCHOTICS_BROAD__RMS_PCOA,pairwise_rms,PCOA,PASS,,10.0,,7.0,2.0,0.8908744038452945,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Chlorpromazine; Clozapine; Haloperidol; Olanzapine; Quetiapine; Risperidone; Ziprasidone",,,,,,,,ANTIPSYCHOTICS_BROAD,Broad antipsychotic reference set
ANTIPSYCHOTICS_BROAD__WEIGHTED_MDS,pairwise_rms,WEIGHTED_METRIC_MDS,PASS,,10.0,,,2.0,,,,,"Ketamine, pooled parent; Ketamine, confirmed racemate; Aripiprazole; Chlorpromazine; Clozapine; Haloperidol; Olanzapine; Quetiapine; Risperidone; Ziprasidone",,0.1069917741766291,20260813.0,,,,,ANTIPSYCHOTICS_BROAD,Broad antipsychotic reference set
